c_title	c_upload_time	c_duration	c_description	c_media_id	c_title_s	c_uploader	
王者荣耀德古拉解说：神辅助太乙真人自爆模式玩命怕不怕！	2017-05-04 00:00:00	08:26	本期德古拉为大家带来英雄孙斌大乱斗模式第一视角视频，爆炸飞驰，有种火车撞人的快感！	c03997s26hg	王者荣耀德古拉解说：神辅助太乙真人自爆模式玩命怕不怕！	德古拉Dracula	
王者荣耀德古拉解说：东皇太一稳稳的压线推进磨血之王！	2017-05-04 00:00:00	17:58	本期德古拉为大家带来钻石局东皇太一第一视角实战攻略，线霸，肉的没人想打的肉盾才是好肉盾！	r0399y9acsq	王者荣耀德古拉解说：东皇太一稳稳的压线推进磨血之王！	德古拉Dracula	
王者荣耀德古拉解说：孙斌大乱斗标记炸弹秒人真好玩！	2017-05-04 00:00:00	10:19	本期德古拉为大家带来英雄孙斌大乱斗模式第一视角视频，新孙斌技能高伤稳定拼预判，MVP妥妥的拿！	a0399fjqp31	王者荣耀德古拉解说：孙斌大乱斗标记炸弹秒人真好玩！	德古拉Dracula	
王者荣耀德古拉解说：赵子龙火焰山火球乒乓术走你！	2017-05-04 00:00:00	05:31	本期德古拉为大家带来英雄赵云火焰山模式第一视角视频，火球飞滚，火中也能七进七出！	b0399rk4uxb	王者荣耀德古拉解说：赵子龙火焰山火球乒乓术走你！	德古拉Dracula	
王者排位日志【135】战神杨戬水晶卡位谁来谁死没毛病！	2017-05-03 00:00:00	11:38	本期德古拉为大家带来钻石局杨戬第一视角实战攻略，战神就该有战神的范，全场不死，浪迹天涯！	f03994fajfm	王者排位日志【135】战神杨戬水晶卡位谁来谁死没毛病！	德古拉Dracula	
王者荣耀德古拉解说：超级韩信节奏带起来，心理战！	2017-05-03 00:00:00	08:22	本期德古拉为大家带来钻石局韩信第一视角实战攻略，打到对手放弃抵抗，心理强大才是真强大！	b0399kl29i3	王者荣耀德古拉解说：超级韩信节奏带起来，心理战！	德古拉Dracula	
王者荣耀德古拉解说：攻速猥琐马可舍生取义为水晶！	2017-05-03 00:00:00	18:50	本期德古拉为大家带来钻石局马可第一视角实战攻略，路见不平一声吼，该出手时就出手，汉子怎么可以怂，该上就得上！	l0399ucjvu9	王者荣耀德古拉解说：攻速猥琐马可舍生取义为水晶！	德古拉Dracula	
王者荣耀德古拉解说：加勒比虞姬走位也要秀起来！	2017-05-03 00:00:00	11:33	本期德古拉为大家带来钻石局虞姬第一视角实战攻略，走位走的好，怎么可能轻易的躺地，用身法换MVP！	u0399w52smp	王者荣耀德古拉解说：加勒比虞姬走位也要秀起来！	德古拉Dracula	
王者荣耀德古拉解说：娜可露露火焰山手撕一切的力量！	2017-05-03 00:00:00	04:16	本期德古拉为大家带来英雄娜可露露火焰山模式第一视角视频，飞鹰走起秒人就是这么酸爽！	r0399q8dcww	王者荣耀德古拉解说：娜可露露火焰山手撕一切的力量！	德古拉Dracula	
王者排位日志【135】杨戬疯狂走位暴走无双！	2017-05-03 00:00:00	12:51	本期德古拉为大家带来王者局杨戬第一视角实战攻略，被抓一次后的怒极反打，实力连招秒杀一切！	x0399r6x3p1	王者排位日志【135】杨戬疯狂走位暴走无双！	德古拉Dracula	
王者荣耀德古拉解说：阿珂峡谷无双19杀，快稳狠！	2017-05-03 00:00:00	11:16	本期德古拉为大家带来阿珂5V5第一视角实战攻略，无双输出，背刺秒人，没有切不掉的英雄！	z0399c3cvao	王者荣耀德古拉解说：阿珂峡谷无双19杀，快稳狠！	德古拉Dracula	
王者荣耀德古拉解说：鲁班七号攻速导弹千里收人头！	2017-05-03 00:00:00	10:12	本期德古拉为大家带来鲁班七号5V5第一视角实战攻略，射速之王，一套秒人稳定输出！	v0399s8zezt	王者荣耀德古拉解说：鲁班七号攻速导弹千里收人头！	德古拉Dracula	
王者荣耀德古拉解说：兰陵王阴人速抓野区Gank之王！	2017-05-03 00:00:00	10:59	本期德古拉为大家带来兰陵王5V5第一视角实战攻略，野区制霸，职业草丛阴人王！	l0399or8u1s	王者荣耀德古拉解说：兰陵王阴人速抓野区Gank之王！	德古拉Dracula	
王者荣耀德古拉解说：成吉思汗大乱斗草丛上演绝杀！	2017-05-03 00:00:00	06:47	本期德古拉为大家带来英雄成吉思汗大乱斗模式第一视角视频，草丛之王进进出出，箭箭致命！	t0399lg0g60	王者荣耀德古拉解说：成吉思汗大乱斗草丛上演绝杀！	德古拉Dracula	
王者荣耀德古拉解说：诸葛亮火焰山被动大招刷不停！	2017-05-03 00:00:00	05:40	本期德古拉为大家带来英雄诸葛亮火焰山模式第一视角视频，起身被动刷起来，横扫战场贴脸打！	p0399kiqpc2	王者荣耀德古拉解说：诸葛亮火焰山被动大招刷不停！	德古拉Dracula	
王者排位日志【134】求稳露娜一波四杀毁天灭地！	2017-05-03 00:00:00	25:13	本期德古拉为大家带来钻石局露娜第一视角实战攻略，厉不厉害，一波就够，怒杀四杀还有谁！	i0399owcwwx	王者排位日志【134】求稳露娜一波四杀毁天灭地！	德古拉Dracula	
王者荣耀德古拉解说：韩信牵制偷塔拿人头，偶遇木兰惨被秒！	2017-05-03 00:00:00	15:20	本期德古拉为大家带来钻石局韩信第一视角实战攻略，全场凯瑞吹牛王，单挑上路竟被怼死，当场打脸很给力！	g0399hr0ncl	王者荣耀德古拉解说：韩信牵制偷塔拿人头，偶遇木兰惨被秒！	德古拉Dracula	
王者荣耀德古拉解说：高渐离秒天灭地拼输出！	2017-05-03 00:00:00	14:32	本期德古拉为大家带来钻石局高渐离第一视角实战攻略，输出给力就能无限凯瑞！	n039966ki7s	王者荣耀德古拉解说：高渐离秒天灭地拼输出！	德古拉Dracula	
王者荣耀德古拉解说：太乙真人大乱斗爆炸锅炉很可怕！	2017-05-02 00:00:00	12:38	本期德古拉为大家带来英雄太乙真人大乱斗模式第一视角视频，锅炉连环炸，让你体验开塞露的快感！	n039921q7h4	王者荣耀德古拉解说：太乙真人大乱斗爆炸锅炉很可怕！	德古拉Dracula	
王者荣耀德古拉解说：貂蝉火焰山一怒拿四杀！	2017-05-02 00:00:00	05:56	本期德古拉为大家带来英雄貂蝉火焰山模式第一视角视频，貂蝉不发飙真当谁都可以来是哇？一波怒到极致的四杀教做人！	n039900rq16	王者荣耀德古拉解说：貂蝉火焰山一怒拿四杀！	德古拉Dracula	
王者排位日志【132】看好下巴，虞姬强行硬上伪五杀！	2017-05-02 00:00:00	22:38	本期德古拉为大家带来钻石局虞姬第一视角实战攻略，一波强上告诉你谁是现如今的ADC之王！	v03997euztb	王者排位日志【132】看好下巴，虞姬强行硬上伪五杀！	德古拉Dracula	
王者荣耀德古拉解说：大膀胱局露娜击杀秀满天！	2017-05-02 00:00:00	25:24	本期德古拉为大家带来钻石局露娜第一视角实战攻略，一场旷世大战，露娜的月下战歌走起！	s0399l1yefe	王者荣耀德古拉解说：大膀胱局露娜击杀秀满天！	德古拉Dracula	
王者荣耀德古拉解说：高渐离前期被血虐，后期怒发威！	2017-05-02 00:00:00	14:39	本期德古拉为大家带来钻石局高渐离第一视角实战攻略，前期欺负我，虽老也诛，管你是谁！	c0398qwy7ku	王者荣耀德古拉解说：高渐离前期被血虐，后期怒发威！	德古拉Dracula	
王者荣耀德古拉解说：赵云火焰山七进七出爆老菊！	2017-05-02 00:00:00	05:19	本期德古拉为大家带来英雄赵云火焰山模式第一视角视频，劲爆的戳菊花，无情的屠戮！	f0398snct21	王者荣耀德古拉解说：赵云火焰山七进七出爆老菊！	德古拉Dracula	
王者排位日志【137】无敌大小姐风筝战术无可匹敌！	2017-05-02 00:00:00	11:46	本期德古拉为大家带来王者局孙尚香第一视角实战攻略，风筝来雨里去，不服就直接打回家！	l0398bfjbh1	王者排位日志【137】无敌大小姐风筝战术无可匹敌！	德古拉Dracula	
王者荣耀德古拉解说：套路蔡文姬8分钟速推直取水晶！	2017-05-02 00:00:00	08:26	本期德古拉为大家带来钻石局操文姬第一视角实战攻略，八分钟速推套路王！	z0398ul35o5	王者荣耀德古拉解说：套路蔡文姬8分钟速推直取水晶！	德古拉Dracula	
王者荣耀德古拉解说：韩信逆风全场游走用节奏征服对手！	2017-05-02 00:00:00	23:26	本期德古拉为大家带来钻石局韩信第一视角实战攻略，逆风从头打到尾，牵制游走你强任你强！	a0398l9rplp	王者荣耀德古拉解说：韩信逆风全场游走用节奏征服对手！	德古拉Dracula	
王者荣耀德古拉解说：貂蝉大乱斗巧遇五杀终结者！	2017-05-02 00:00:00	08:47	本期德古拉为大家带来英雄貂蝉大乱斗模式第一视角视频，真的是气啊，被逼无奈，实力丢五杀！	l0398xqahv5	王者荣耀德古拉解说：貂蝉大乱斗巧遇五杀终结者！	德古拉Dracula	
王者荣耀德古拉解说：孙尚香火焰山翻滚大炮轰不停！	2017-05-02 00:00:00	05:22	本期德古拉为大家带来英雄孙尚香火焰山模式第一视角视频，翻滚吧宝宝，一炮惊魂！	d0398j4ezho	王者荣耀德古拉解说：孙尚香火焰山翻滚大炮轰不停！	德古拉Dracula	
王者排位日志【131】神箭后羿一秒9发站撸无敌！	2017-05-02 00:00:00	14:28	本期德古拉为大家带来钻石局后羿第一视角实战攻略，一秒九箭教你做人，送你回家！	m0398kf36sa	王者排位日志【131】神箭后羿一秒9发站撸无敌！	德古拉Dracula	
王者荣耀德古拉解说：兵仙韩信飘逸身法大秀全场！	2017-05-02 00:00:00	18:00	本期德古拉为大家带来钻石局韩信第一视角实战攻略，灵活飘逸，三路称王！	u0398vntoxd	王者荣耀德古拉解说：兵仙韩信飘逸身法大秀全场！	德古拉Dracula	
王者荣耀德古拉解说：一哥曹操收了人头忘了打野！	2017-05-02 00:00:00	12:57	本期德古拉为大家带来钻石局曹操第一视角实战攻略，不务正业的打野曹操又来了，什么是打野我咋不知道！	z0398suithm	王者荣耀德古拉解说：一哥曹操收了人头忘了打野！	德古拉Dracula	
王者荣耀德古拉解说：娜可成功解毒一波团灭上高地！	2017-05-02 00:00:00	19:37	本期德古拉为大家带来钻石局娜可露露第一视角实战攻略，实力输出直指后排！	m0398wd4393	王者荣耀德古拉解说：娜可成功解毒一波团灭上高地！	德古拉Dracula	
王者荣耀德古拉解说：露娜王者局逆风局大逆转！	2017-05-01 00:00:00	18:53	本期德古拉为大家带来王者局露娜第一视角实战攻略，逆风从来都是正常时，打稳打狠轻松解决！	l0398bm4gdp	王者荣耀德古拉解说：露娜王者局逆风局大逆转！	德古拉Dracula	
王者荣耀德古拉解说：嬴政大乱斗万千齐发秒人超快！	2017-05-01 00:00:00	11:37	本期德古拉为大家带来英雄嬴政大乱斗模式第一视角视频，一波四杀，告诉你什么是技术！	a0398c8t9iv	王者荣耀德古拉解说：嬴政大乱斗万千齐发秒人超快！	德古拉Dracula	
王者荣耀德古拉解说：三太子火焰山狂怼推人火烧火燎！	2017-05-01 00:00:00	05:00	本期德古拉为大家带来英雄哪吒三太子火焰山模式第一视角视频，烧血猛冲，神挡杀神！	m0398u5ojoh	王者荣耀德古拉解说：三太子火焰山狂怼推人火烧火燎！	德古拉Dracula	
王者排位日志【136】高渐离闪现大招爆炸一套秒！	2017-04-30 00:00:00	13:49	本期德古拉为大家带来钻石局高渐离第一视角实战攻略，闪现跳大，一曲离歌解千愁！	s0398ctt9kf	王者排位日志【136】高渐离闪现大招爆炸一套秒！	德古拉Dracula	
王者荣耀德古拉解说：虞姬反踹-团战夹缝中的生存之道！	2017-04-30 00:00:00	15:06	本期德古拉为大家带来钻石局虞姬第一视角实战攻略，只要我不想死，谁也别想击杀我！	g0398bson73	王者荣耀德古拉解说：虞姬反踹-团战夹缝中的生存之道！	德古拉Dracula	
王者荣耀德古拉解说：眦睚必报，杨戬的搏命耍狠！	2017-04-30 00:00:00	16:51	本期德古拉为大家带来钻石局杨戬第一视角实战攻略，拼命三郎的打法，鬼见愁！	t0398par01y	王者荣耀德古拉解说：眦睚必报，杨戬的搏命耍狠！	德古拉Dracula	
王者荣耀德古拉解说：韩信发高烧反跳送塔服不服！	2017-04-30 00:00:00	12:26	本期德古拉为大家带来钻石局韩信第一视角实战攻略，我也有逗比的时候，比如反跳送塔！	s0398d45132	王者荣耀德古拉解说：韩信发高烧反跳送塔服不服！	德古拉Dracula	
王者荣耀德古拉解说：子龙大乱斗猛打猛冲就是强势！	2017-04-30 00:00:00	09:56	本期德古拉为大家带来英雄赵云大乱斗模式第一视角视频，轻松把人戳上天的感觉很酸爽！	m0398vkerfu	王者荣耀德古拉解说：子龙大乱斗猛打猛冲就是强势！	德古拉Dracula	
